"基金名稱","歐洲股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2002/01/01","100.0"	
"2002/01/02","100.0"	
"2002/01/31","94.73"	
"2002/02/01","95.11"	
"2002/02/28","95.11"	
"2002/03/01","95.69"	
"2002/03/19","99.75"	
"2002/03/20","99.19"	
"2002/03/21","98.71"	
"2002/03/22","98.9"	
"2002/03/23","98.15"	
"2002/03/24","98.15"	
"2002/03/25","98.15"	
"2002/03/26","98.21"	
"2002/03/27","98.12"	
"2002/03/28","99.03"	
"2002/03/29","99.74"	
"2002/03/30","99.74"	
"2002/03/31","99.74"	
"2002/04/01","99.74"	
"2002/04/02","99.74"	
"2002/04/03","99.54"	
"2002/04/04","99.06"	
"2002/04/05","97.47"	
"2002/04/06","97.47"	
"2002/04/07","97.47"	
"2002/04/08","97.47"	
"2002/04/09","97.83"	
"2002/04/10","98.66"	
"2002/04/11","97.9"	
"2002/04/12","97.98"	
"2002/04/13","98.54"	
"2002/04/14","98.54"	
"2002/04/15","98.54"	
"2002/04/16","99.99"	
"2002/04/17","100.51"	
"2002/04/18","100.26"	
"2002/04/19","100.34"	
"2002/04/20","99.96"	
"2002/04/21","99.96"	
"2002/04/22","99.96"	
"2002/04/23","99.88"	
"2002/04/24","99.87"	
"2002/04/25","99.71"	
"2002/04/26","99.45"	
"2002/04/27","99.54"	
"2002/04/28","99.54"	
"2002/04/29","99.54"	
"2002/04/30","100.07"	
"2002/05/01","99.99"	
"2002/05/02","99.99"	
"2002/05/03","100.57"	
"2002/05/04","100.57"	
"2002/05/05","100.57"	
"2002/05/06","100.57"	
"2002/05/07","99.3"	
"2002/05/08","100.59"	
"2002/05/09","100.31"	
"2002/05/10","99.93"	
"2002/05/11","100.64"	
"2002/05/12","100.64"	
"2002/05/13","100.64"	
"2002/05/14","100.72"	
"2002/05/15","101.39"	
"2002/05/16","101.3"	
"2002/05/17","101.84"	
"2002/05/18","101.1"	
"2002/05/19","101.1"	
"2002/05/20","101.1"	
"2002/05/21","101.1"	
"2002/05/22","101.02"	
"2002/05/23","100.55"	
"2002/05/24","100.65"	
"2002/05/25","100.37"	
"2002/05/26","100.37"	
"2002/05/27","100.37"	
"2002/05/28","100.46"	
"2002/05/29","100.56"	
"2002/05/30","99.9"	
"2002/05/31","100.46"	
"2002/06/01","99.99"	
