"基金名稱","中港動態資產配置基金"	
"貨幣","HKD"	
"成立日期","2017/07/04"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2017/07/04","100.0"	
"2017/07/05","99.99"	
"2017/07/06","99.99"	
"2017/07/07","99.86"	
"2017/07/08","99.86"	
"2017/07/09","99.86"	
"2017/07/10","100.09"	
"2017/07/11","100.82"	
"2017/07/12","101.11"	
"2017/07/13","101.76"	
"2017/07/14","101.89"	
"2017/07/15","101.89"	
"2017/07/16","101.89"	
"2017/07/17","102.06"	
"2017/07/18","102.07"	
"2017/07/19","102.44"	
"2017/07/20","102.48"	
"2017/07/21","102.4"	
"2017/07/22","102.4"	
"2017/07/23","102.4"	
"2017/07/24","102.69"	
"2017/07/25","102.7"	
"2017/07/26","102.77"	
"2017/07/27","103.24"	
"2017/07/28","102.83"	
"2017/07/29","102.83"	
"2017/07/30","102.83"	
"2017/07/31","103.59"	
"2017/08/01","104.13"	
"2017/08/02","104.39"	
"2017/08/03","104.22"	
"2017/08/04","104.29"	
"2017/08/05","104.29"	
"2017/08/06","104.29"	
"2017/08/07","104.63"	
"2017/08/08","105.04"	
"2017/08/09","104.67"	
"2017/08/10","103.83"	
"2017/08/11","102.4"	
"2017/08/12","102.4"	
"2017/08/13","102.4"	
"2017/08/14","103.39"	
"2017/08/15","103.31"	
"2017/08/16","103.84"	
"2017/08/17","103.85"	
"2017/08/18","103.21"	
"2017/08/19","103.21"	
"2017/08/20","103.21"	
"2017/08/21","103.45"	
"2017/08/22","104.18"	
"2017/08/23","104.18"	
"2017/08/24","104.57"	
"2017/08/25","105.39"	
"2017/08/26","105.39"	
"2017/08/27","105.39"	
"2017/08/28","105.42"	
"2017/08/29","105.12"	
"2017/08/30","105.83"	
"2017/08/31","105.74"	
"2017/09/01","105.7"	
"2017/09/02","105.7"	
"2017/09/03","105.7"	
"2017/09/04","105.22"	
"2017/09/05","105.27"	
"2017/09/06","104.98"	
"2017/09/07","104.75"	
"2017/09/08","104.99"	
"2017/09/09","104.99"	
"2017/09/10","104.99"	
"2017/09/11","105.65"	
"2017/09/12","105.74"	
"2017/09/13","105.57"	
"2017/09/14","105.22"	
"2017/09/15","105.24"	
"2017/09/16","105.24"	
"2017/09/17","105.24"	
"2017/09/18","106.28"	
"2017/09/19","105.93"	
"2017/09/20","106.2"	
"2017/09/21","106.43"	
"2017/09/22","105.93"	
"2017/09/23","105.93"	
"2017/09/24","105.93"	
"2017/09/25","104.74"	
"2017/09/26","104.74"	
"2017/09/27","105.08"	
"2017/09/28","104.45"	
"2017/09/29","104.81"	
"2017/09/30","104.81"	
"2017/10/01","104.81"	
"2017/10/02","104.81"	
"2017/10/03","106.48"	
"2017/10/04","106.94"	
"2017/10/05","106.94"	
"2017/10/06","107.14"	
"2017/10/07","107.14"	
"2017/10/08","107.14"	
"2017/10/09","106.71"	
"2017/10/10","107.06"	
"2017/10/11","106.83"	
"2017/10/12","107.19"	
"2017/10/13","107.19"	
"2017/10/14","107.19"	
"2017/10/15","107.19"	
"2017/10/16","107.72"	
"2017/10/17","107.72"	
"2017/10/18","107.79"	
"2017/10/19","106.44"	
"2017/10/20","107.21"	
"2017/10/21","107.21"	
"2017/10/22","107.21"	
"2017/10/23","106.96"	
"2017/10/24","106.51"	
"2017/10/25","106.85"	
"2017/10/26","106.62"	
"2017/10/27","107.14"	
"2017/10/28","107.14"	
"2017/10/29","107.14"	
"2017/10/30","106.79"	
"2017/10/31","106.64"	
"2017/11/01","107.5"	
"2017/11/02","107.28"	
"2017/11/03","107.45"	
"2017/11/04","107.45"	
"2017/11/05","107.45"	
"2017/11/06","107.39"	
"2017/11/07","108.35"	
"2017/11/08","108.22"	
"2017/11/09","108.75"	
"2017/11/10","108.8"	
"2017/11/11","108.8"	
"2017/11/12","108.8"	
"2017/11/13","108.82"	
"2017/11/14","108.64"	
"2017/11/15","107.9"	
"2017/11/16","108.42"	
"2017/11/17","108.89"	
"2017/11/18","108.89"	
"2017/11/19","108.89"	
"2017/11/20","108.97"	
"2017/11/21","110.44"	
"2017/11/22","110.81"	
"2017/11/23","109.79"	
"2017/11/24","110.37"	
"2017/11/25","110.37"	
"2017/11/26","110.37"	
"2017/11/27","109.85"	
"2017/11/28","109.74"	
"2017/11/29","109.65"	
"2017/11/30","108.5"	
"2017/12/01","108.25"	
"2017/12/02","108.25"	
"2017/12/03","108.25"	
"2017/12/04","108.44"	
"2017/12/05","107.79"	
"2017/12/06","106.15"	
"2017/12/07","106.4"	
"2017/12/08","107.33"	
"2017/12/09","107.33"	
"2017/12/10","107.33"	
"2017/12/11","108.28"	
"2017/12/12","107.72"	
"2017/12/13","108.7"	
"2017/12/14","108.53"	
"2017/12/15","107.73"	
"2017/12/16","107.73"	
"2017/12/17","107.73"	
"2017/12/18","108.07"	
"2017/12/19","108.71"	
"2017/12/20","108.57"	
"2017/12/21","108.98"	
"2017/12/22","109.4"	
"2017/12/23","109.4"	
"2017/12/24","109.4"	
"2017/12/25","109.4"	
"2017/12/26","109.4"	
"2017/12/27","109.22"	
"2017/12/28","109.89"	
"2017/12/29","110.06"	
"2017/12/30","110.06"	
"2017/12/31","110.06"	
