"基金名稱","大中華股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2005/01/01","100.93"	
"2005/01/02","100.93"	
"2005/01/03","100.93"	
"2005/01/04","99.71"	
"2005/01/05","97.95"	
"2005/01/06","97.84"	
"2005/01/07","96.68"	
"2005/01/08","96.68"	
"2005/01/09","96.68"	
"2005/01/10","96.85"	
"2005/01/11","96.66"	
"2005/01/12","96.38"	
"2005/01/13","96.75"	
"2005/01/14","96.65"	
"2005/01/15","96.65"	
"2005/01/16","96.65"	
"2005/01/17","97.6"	
"2005/01/18","97.97"	
"2005/01/19","97.78"	
"2005/01/20","97.1"	
"2005/01/21","96.41"	
"2005/01/22","96.41"	
"2005/01/23","96.41"	
"2005/01/24","95.23"	
"2005/01/25","96.06"	
"2005/01/26","96.52"	
"2005/01/27","96.61"	
"2005/01/28","97.09"	
"2005/01/29","97.09"	
"2005/01/30","97.09"	
"2005/01/31","98.37"	
"2005/02/01","98.0"	
"2005/02/02","98.45"	
"2005/02/03","98.55"	
"2005/02/04","98.93"	
"2005/02/05","98.93"	
"2005/02/06","98.93"	
"2005/02/07","100.15"	
"2005/02/08","100.14"	
"2005/02/09","100.14"	
"2005/02/10","100.14"	
"2005/02/11","100.14"	
"2005/02/12","100.14"	
"2005/02/13","100.14"	
"2005/02/14","101.23"	
"2005/02/15","101.42"	
"2005/02/16","101.32"	
"2005/02/17","100.56"	
"2005/02/18","101.33"	
"2005/02/19","101.33"	
"2005/02/20","101.33"	
"2005/02/21","101.63"	
"2005/02/22","101.63"	
"2005/02/23","101.63"	
"2005/02/24","102.66"	
"2005/02/25","104.18"	
"2005/02/26","104.18"	
"2005/02/27","104.18"	
"2005/02/28","104.67"	
"2005/03/01","105.05"	
"2005/03/02","104.1"	
"2005/03/03","104.09"	
"2005/03/04","103.33"	
"2005/03/05","103.33"	
"2005/03/06","103.33"	
"2005/03/07","103.42"	
"2005/03/08","103.91"	
"2005/03/09","104.7"	
"2005/03/10","104.2"	
"2005/03/11","104.69"	
"2005/03/12","104.69"	
"2005/03/13","104.69"	
"2005/03/14","104.2"	
"2005/03/15","102.69"	
"2005/03/16","102.97"	
"2005/03/17","103.16"	
"2005/03/18","103.16"	
"2005/03/19","103.16"	
"2005/03/20","103.16"	
"2005/03/21","103.26"	
"2005/03/22","102.18"	
"2005/03/23","100.71"	
"2005/03/24","101.0"	
"2005/03/25","101.0"	
"2005/03/26","101.0"	
"2005/03/27","101.0"	
"2005/03/28","101.0"	
"2005/03/29","100.1"	
"2005/03/30","100.0"	
"2005/03/31","100.49"	
"2005/04/01","101.29"	
"2005/04/02","101.29"	
"2005/04/03","101.29"	
"2005/04/04","101.49"	
"2005/04/05","101.49"	
"2005/04/06","101.29"	
"2005/04/07","101.68"	
"2005/04/08","102.37"	
"2005/04/09","102.37"	
"2005/04/10","102.37"	
"2005/04/11","101.98"	
"2005/04/12","102.17"	
"2005/04/13","102.55"	
"2005/04/14","102.45"	
"2005/04/15","101.28"	
"2005/04/16","101.28"	
"2005/04/17","101.28"	
"2005/04/18","98.65"	
"2005/04/19","99.84"	
"2005/04/20","99.25"	
"2005/04/21","99.83"	
"2005/04/22","100.62"	
"2005/04/23","100.62"	
"2005/04/24","100.62"	
"2005/04/25","100.99"	
"2005/04/26","101.92"	
"2005/04/27","101.42"	
"2005/04/28","102.12"	
"2005/04/29","101.82"	
"2005/04/30","101.82"	
"2005/05/01","101.82"	
"2005/05/02","101.82"	
"2005/05/03","102.31"	
"2005/05/04","102.41"	
"2005/05/05","103.88"	
"2005/05/06","104.17"	
"2005/05/07","104.17"	
"2005/05/08","104.17"	
"2005/05/09","104.66"	
"2005/05/10","104.36"	
"2005/05/11","103.37"	
"2005/05/12","103.47"	
"2005/05/13","103.27"	
"2005/05/14","103.27"	
"2005/05/15","103.27"	
"2005/05/16","103.27"	
"2005/05/17","101.5"	
"2005/05/18","101.7"	
"2005/05/19","102.39"	
"2005/05/20","102.39"	
"2005/05/21","102.39"	
"2005/05/22","102.39"	
"2005/05/23","101.3"	
"2005/05/24","101.89"	
"2005/05/25","101.3"	
"2005/05/26","101.39"	
"2005/05/27","102.87"	
"2005/05/28","102.87"	
"2005/05/29","102.87"	
"2005/05/30","103.46"	
"2005/05/31","103.95"	
"2005/06/01","103.45"	
"2005/06/02","103.25"	
"2005/06/03","103.66"	
"2005/06/04","103.66"	
"2005/06/05","103.66"	
"2005/06/06","104.25"	
"2005/06/07","104.15"	
"2005/06/08","104.84"	
"2005/06/09","104.55"	
"2005/06/10","105.14"	
"2005/06/11","105.14"	
"2005/06/12","105.14"	
"2005/06/13","105.93"	
"2005/06/14","105.33"	
"2005/06/15","105.53"	
"2005/06/16","105.82"	
"2005/06/17","105.92"	
"2005/06/18","105.92"	
"2005/06/19","105.92"	
"2005/06/20","106.12"	
"2005/06/21","106.31"	
"2005/06/22","107.99"	
"2005/06/23","108.19"	
"2005/06/24","107.99"	
"2005/06/25","107.99"	
"2005/06/26","107.99"	
