"基金名稱","北美股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2002/01/01","100.0"	
"2002/01/02","100.0"	
"2002/01/31","94.13"	
"2002/02/01","95.4"	
"2002/02/28","92.38"	
"2002/03/01","92.09"	
"2002/03/19","97.83"	
"2002/03/20","98.43"	
"2002/03/21","97.06"	
"2002/03/22","97.13"	
"2002/03/23","96.94"	
"2002/03/24","96.94"	
"2002/03/25","96.94"	
"2002/03/26","96.5"	
"2002/03/27","96.69"	
"2002/03/28","97.17"	
"2002/03/29","97.07"	
"2002/03/30","97.07"	
"2002/03/31","97.07"	
"2002/04/01","97.07"	
"2002/04/02","97.07"	
"2002/04/03","96.34"	
"2002/04/04","95.57"	
"2002/04/05","95.3"	
"2002/04/06","95.3"	
"2002/04/07","95.3"	
"2002/04/08","95.3"	
"2002/04/09","95.44"	
"2002/04/10","94.62"	
"2002/04/11","95.73"	
"2002/04/12","93.19"	
"2002/04/13","93.88"	
"2002/04/14","93.88"	
"2002/04/15","93.88"	
"2002/04/16","93.21"	
"2002/04/17","95.23"	
"2002/04/18","95.13"	
"2002/04/19","95.31"	
"2002/04/20","95.31"	
"2002/04/21","95.31"	
"2002/04/22","95.31"	
"2002/04/23","93.59"	
"2002/04/24","93.13"	
"2002/04/25","92.41"	
"2002/04/26","91.79"	
"2002/04/27","90.46"	
"2002/04/28","90.46"	
"2002/04/29","90.46"	
"2002/04/30","89.33"	
"2002/05/01","90.99"	
"2002/05/02","90.99"	
"2002/05/03","89.96"	
"2002/05/04","88.3"	
"2002/05/05","88.3"	
"2002/05/06","88.3"	
"2002/05/07","87.92"	
"2002/05/08","91.63"	
"2002/05/09","90.13"	
"2002/05/10","88.62"	
"2002/05/11","90.14"	
"2002/05/12","90.14"	
"2002/05/13","90.14"	
"2002/05/14","92.14"	
"2002/05/15","91.85"	
"2002/05/16","92.29"	
"2002/05/17","92.9"	
"2002/05/18","90.88"	
"2002/05/19","90.88"	
"2002/05/20","90.88"	
"2002/05/21","90.88"	
"2002/05/22","91.52"	
"2002/05/23","92.56"	
"2002/05/24","91.31"	
"2002/05/25","91.31"	
"2002/05/26","91.31"	
"2002/05/27","91.31"	
"2002/05/28","90.42"	
"2002/05/29","89.63"	
"2002/05/30","89.43"	
"2002/05/31","89.72"	
"2002/06/01","86.99"	
