Date,環球債券基金_Price
2019/08/17,126.31
2019/08/18,126.31
2019/08/19,125.96
2019/08/20,126.24
2019/08/21,126.17
2019/08/22,125.94
2019/08/23,126.52
2019/08/24,126.52
2019/08/25,126.52
2019/08/26,126.52
2019/08/27,126.79
2019/08/28,126.86
2019/08/29,126.5
2019/08/30,126.32
2019/08/31,126.32
2019/09/01,126.32
2019/09/02,125.97
2019/09/03,126.2
2019/09/04,126.36
2019/09/05,125.66
2019/09/06,125.87
2019/09/07,125.87
2019/09/08,125.87
2019/09/09,125.44
2019/09/10,124.83
2019/09/11,124.43
2019/09/12,124.31
2019/09/13,123.88
2019/09/14,123.88
2019/09/15,123.88
2019/09/16,123.82
2019/09/17,124.09
2019/09/18,124.34
2019/09/19,124.39
2019/09/20,124.39
2019/09/21,124.39
2019/09/22,124.39
2019/09/23,124.77
2019/09/24,125.18
2019/09/25,124.44
2019/09/26,124.59
2019/09/27,124.62
2019/09/28,124.62
2019/09/29,124.62
2019/09/30,124.44
2019/10/01,124.44
2019/10/02,124.87
2019/10/03,125.49
2019/10/04,125.57
2019/10/05,125.57
2019/10/06,125.57
2019/10/07,125.57
2019/10/08,125.22
2019/10/09,125.01
2019/10/10,124.61
2019/10/11,124.37
2019/10/12,124.37
2019/10/13,124.37
2019/10/14,124.57
2019/10/15,124.4
2019/10/16,124.51
2019/10/17,124.84
2019/10/18,124.98
2019/10/19,124.98
2019/10/20,124.98
2019/10/21,124.74
2019/10/22,124.85
2019/10/23,124.89
2019/10/24,124.91
2019/10/25,124.61
2019/10/26,124.61
2019/10/27,124.61
2019/10/28,124.29
2019/10/29,124.53
2019/10/30,124.72
2019/10/31,125.53
2019/11/01,125.46
2019/11/02,125.46
2019/11/03,125.46
2019/11/04,125.15
2019/11/05,124.35
2019/11/06,124.47
2019/11/07,123.62
2019/11/08,123.45
2019/11/09,123.45
2019/11/10,123.45
2019/11/11,123.58
2019/11/12,123.45
2019/11/13,123.8
2019/11/14,123.98
2019/11/15,124.04
2019/11/16,124.04
2019/11/17,124.04
2019/11/18,124.32
2019/11/19,124.36
2019/11/20,124.4
2019/11/21,124.21
2019/11/22,124.05
2019/11/23,124.05
2019/11/24,124.05
2019/11/25,124.04
2019/11/26,124.33
2019/11/27,124.22
2019/11/28,124.16
2019/11/29,124.2
2019/11/30,124.2
2019/12/01,124.2
2019/12/02,124.04
2019/12/03,124.82
2019/12/04,124.53
2019/12/05,124.53
2019/12/06,124.15
2019/12/07,124.15
2019/12/08,124.15
2019/12/09,124.34
2019/12/10,124.43
2019/12/11,124.59
2019/12/12,123.98
2019/12/13,124.63
2019/12/14,124.63
2019/12/15,124.63
2019/12/16,124.2
2019/12/17,124.24
2019/12/18,123.9
2019/12/19,123.92
2019/12/20,123.83
2019/12/21,123.83
2019/12/22,123.83
2019/12/23,123.61
2019/12/24,123.74
2019/12/25,123.74
2019/12/26,123.74
2019/12/27,124.3
2019/12/28,124.3
2019/12/29,124.3
2019/12/30,124.34
2019/12/31,124.5
2020/01/01,124.5
2020/01/02,124.71
2020/01/03,124.87
2020/01/04,124.87
2020/01/05,124.87
2020/01/06,124.84
2020/01/07,124.47
2020/01/08,124.13
2020/01/09,123.86
2020/01/10,124.01
2020/01/11,124.01
2020/01/12,124.01
2020/01/13,123.94
2020/01/14,124.07
2020/01/15,124.43
2020/01/16,124.36
2020/01/17,124.13
2020/01/18,124.13
2020/01/19,124.13
2020/01/20,124.11
2020/01/21,124.63
2020/01/22,124.68
2020/01/23,124.84
2020/01/24,125.0
2020/01/25,125.0
2020/01/26,125.0
2020/01/27,125.0
2020/01/28,125.0
2020/01/29,125.22
2020/01/30,125.6
2020/01/31,126.09
2020/02/01,126.09
2020/02/02,126.09
2020/02/03,125.8
2020/02/04,125.32
2020/02/05,124.84
2020/02/06,124.67
2020/02/07,124.96
2020/02/08,124.96
2020/02/09,124.96
2020/02/10,125.0
2020/02/11,124.76
2020/02/12,124.58
2020/02/13,124.54
2020/02/14,124.63
2020/02/15,124.63
2020/02/16,124.63
2020/02/17,124.55
2020/02/18,124.78
2020/02/19,124.48
2020/02/20,124.7
2020/02/21,125.33
2020/02/22,125.33
2020/02/23,125.33
2020/02/24,125.73
2020/02/25,125.98
2020/02/26,125.73
2020/02/27,126.33
2020/02/28,126.89
2020/02/29,126.89
2020/03/01,126.89
2020/03/02,127.38
2020/03/03,127.99
2020/03/04,127.94
2020/03/05,128.55
2020/03/06,130.01
2020/03/07,130.01
2020/03/08,130.01
2020/03/09,130.69
2020/03/10,128.53
2020/03/11,127.7
2020/03/12,125.48
2020/03/13,124.02
2020/03/14,124.02
2020/03/15,124.02
2020/03/16,124.16
2020/03/17,121.36
2020/03/18,117.68
2020/03/19,116.9
2020/03/20,117.83
2020/03/21,117.83
2020/03/22,117.83
2020/03/23,118.47
2020/03/24,118.4
2020/03/25,118.59
2020/03/26,120.51
2020/03/27,121.57
2020/03/28,121.57
2020/03/29,121.57
2020/03/30,121.91
2020/03/31,121.58
2020/04/01,121.61
2020/04/02,121.13
2020/04/03,120.92
2020/04/04,120.92
2020/04/05,120.92
2020/04/06,120.58
2020/04/07,120.95
2020/04/08,121.15
2020/04/09,122.59
2020/04/10,122.59
2020/04/11,122.59
2020/04/12,122.59
2020/04/13,122.59
2020/04/14,123.7
2020/04/15,124.08
2020/04/16,123.85
2020/04/17,123.85
2020/04/18,123.85
2020/04/19,123.85
2020/04/20,123.79
2020/04/21,123.72
2020/04/22,123.4
2020/04/23,123.89
2020/04/24,124.16
2020/04/25,124.16
2020/04/26,124.16
2020/04/27,124.37
2020/04/28,124.76
2020/04/29,124.86
2020/04/30,124.86
2020/05/01,124.86
2020/05/02,124.86
2020/05/03,124.86
2020/05/04,124.99
2020/05/05,124.73
2020/05/06,124.11
2020/05/07,124.26
2020/05/08,124.53
2020/05/09,124.53
2020/05/10,124.53
2020/05/11,123.82
2020/05/12,124.25
2020/05/13,124.14
2020/05/14,123.92
2020/05/15,123.76
2020/05/16,123.76
2020/05/17,123.76
2020/05/18,123.59
2020/05/19,124.23
2020/05/20,124.88
2020/05/21,124.93
2020/05/22,124.88
2020/05/23,124.88
2020/05/24,124.88
2020/05/25,124.74
2020/05/26,125.32
2020/05/27,125.65
2020/05/28,126.19
2020/05/29,126.73
2020/05/30,126.73
2020/05/31,126.73
2020/06/01,126.72
2020/06/02,127.11
2020/06/03,127.21
2020/06/04,127.91
2020/06/05,128.17
2020/06/06,128.17
2020/06/07,128.17
2020/06/08,128.71
2020/06/09,128.99
2020/06/10,129.1
2020/06/11,129.43
2020/06/12,128.55
2020/06/13,128.55
2020/06/14,128.55
2020/06/15,128.62
2020/06/16,128.82
2020/06/17,128.78
2020/06/18,128.82
2020/06/19,128.6
2020/06/20,128.6
2020/06/21,128.6
2020/06/22,128.92
2020/06/23,129.3
2020/06/24,129.02
2020/06/25,129.02
2020/06/26,128.74
2020/06/27,128.74
2020/06/28,128.74
2020/06/29,128.85
2020/06/30,128.79
2020/07/01,128.79
2020/07/02,129.01
2020/07/03,129.17
2020/07/04,129.17
2020/07/05,129.17
2020/07/06,129.6
2020/07/07,129.59
2020/07/08,129.86
2020/07/09,130.08
2020/07/10,130.19
2020/07/11,130.19
2020/07/12,130.19
2020/07/13,130.08
2020/07/14,130.45
2020/07/15,130.73
2020/07/16,131.07
2020/07/17,130.97
2020/07/18,130.97
2020/07/19,130.97
2020/07/20,131.28
2020/07/21,131.91
2020/07/22,132.56
2020/07/23,132.78
2020/07/24,132.88
2020/07/25,132.88
2020/07/26,132.88
2020/07/27,133.85
2020/07/28,133.73
2020/07/29,133.88
2020/07/30,134.2
2020/07/31,134.25
2020/08/01,134.25
2020/08/02,134.25
2020/08/03,133.54
2020/08/04,134.02
2020/08/05,134.57
2020/08/06,134.62
2020/08/07,134.18
2020/08/08,134.18
2020/08/09,134.18
2020/08/10,134.22
2020/08/11,133.73
2020/08/12,133.73
2020/08/13,133.62
2020/08/14,133.62
2020/08/15,133.62
2020/08/16,133.62
2020/08/17,134.09
2020/08/18,134.52
2020/08/19,134.41
2020/08/20,134.24
2020/08/21,133.97
2020/08/22,133.97
2020/08/23,133.97
2020/08/24,134.18
2020/08/25,133.73
2020/08/26,133.68
2020/08/27,133.25
2020/08/28,133.95
2020/08/29,133.95
2020/08/30,133.95
2020/08/31,134.34
2020/09/01,134.55
2020/09/02,134.39
2020/09/03,134.55
2020/09/04,133.73
2020/09/05,133.73
2020/09/06,133.73
2020/09/07,133.72
2020/09/08,133.77
2020/09/09,133.61
2020/09/10,133.76
2020/09/11,133.81
2020/09/12,133.81
2020/09/13,133.81
2020/09/14,134.18
2020/09/15,134.12
2020/09/16,134.23
2020/09/17,134.28
2020/09/18,134.49
2020/09/19,134.49
2020/09/20,134.49
2020/09/21,133.88
2020/09/22,133.56
2020/09/23,133.33
2020/09/24,133.06
2020/09/25,132.84
2020/09/26,132.84
2020/09/27,132.84
2020/09/28,133.05
2020/09/29,133.64
2020/09/30,133.53
2020/10/01,133.53
2020/10/02,133.53
2020/10/03,133.53
2020/10/04,133.53
2020/10/05,133.73
2020/10/06,133.95
2020/10/07,133.57
2020/10/08,133.73
2020/10/09,134.21
2020/10/10,134.21
2020/10/11,134.21
2020/10/12,134.43
2020/10/13,134.43
2020/10/14,134.53
2020/10/15,134.09
2020/10/16,134.25
2020/10/17,134.25
2020/10/18,134.25
2020/10/19,134.51
2020/10/20,134.45
2020/10/21,134.77
2020/10/22,134.28
